Id_comuna;Id_comisaria;Nombre_comisaria;DirecciÛn;Fono;;Tipo;;;;;
5101;;9NA. COMISARIA CONGRESO NACIONAL;Av. Pedro Montt s/n, Valpara√≠so;32 - 3132511;;COMISARIA;;;;;
5101;;SUBCOMISARÕA I.A.T. VALPARAISO;GUACOLDA N∞ 213;32 - 2 3132065;;SUBCOMISARIA;;;;;
7304;;4A. COMISARÕA DE MOLINA;MAIPU N 2022;75-2275139;;COMISARIA;;;;;
7305;;TENENCIA RAUCO;BALMACEDA N∞ 37;75 - 2 275055;;TENENCIA;;;;;
7306;;TENENCIA ROMERAL;AVENIDA RAM”N FREIRE N∞ 951;75 - 2 275135;;TENENCIA;;;;;
7307;;TENENCIA SAGRADA FAMILIA;ESPERANZA N∞ 74;75 - 2 275166;;TENENCIA;;;;;
7308;;3A. COMISARÕA DE TENO;AVENIDA. COMALLE N 110;75-2275112;;COMISARIA;;;;;
7309;;RETEN VICHUQUEN;ARTURO PRAT S/N;75 - 2 275104;;RETEN;;;;;
7401;;1A. COMISARÕA LINARES;AVENIDA. VALENTIN LETELIER N 376;73 - 2673029;;COMISARIA;;;;;
7402;;TENENCIA COLBUN;BERNARDO O'HIGGINS N∞ 404;73 - 2 673050;;TENENCIA;;;;;
7403;;SUBCOMISARÕA LONGAVI;UNO SUR NÔøΩ 410;73 - 2 673195;;SUBCOMISARIA;;;;;
7404;;3A. COMISARÕA PARRAL;URRUTIA N 560;73 - 2 673096;;COMISARIA;;;;;
7405;;TENENCIA RETIRO;PRESIDENTE ERRAZURIZ N∞ 266;73 - 2 673121;;TENENCIA;;;;;
7406;;5A. COMISARÕA DE SAN JAVIER;LONCOMILLA N 2488;73 - 2 673156;;COMISARIA;;;;;
7407;;SUBCOMISARÕA VILLA ALEGRE;ABATE MOLINA N∞ 925;73 - 2 673181;;SUBCOMISARIA;;;;;
7408;;RETEN YERBAS BUENAS;CENTENARIO N∞ 51; 73 - 2 673071;;RETEN;;;;;
16101;;PREFECTURA —UBLE N∞ 27;VEGAS DE SALDIAS N∞ 368;42 - 2842000;;PREFECTURA;;;;;
16101;;TENENCIA CHILLAN ORIENTE;AVDA NUEVA ORIENTE 612, CHILLAN;42 - 2842095;;TENENCIA;;;;;
16102;;3A. COMISARÕA DE BULNES;CALLE ANIBAL PINTO NÔøΩ 461;42 - 2 2842116;;COMISARIA;;;;;
16103;;6A COMISARIA DE CHILLAN VIEJO;AVENIDA BERNARDO OHIGGINS N 2804;42 - 2842204;;COMISARIA;;;;;
16104;;TENENCIA EL CARMEN;ESMERALDA N∞ 2;42 - 2842166;;TENENCIA;;;;;
16105;;TENENCIA PEMUCO;MIRAFLORES N∞ 696;42 - 2842163;;TENENCIA;;;;;
16106;;TENENCIA PINTO;ERNESTO RIQUELME N∞ 133;42 - 2842224;;TENENCIA;;;;;
16107;;TENENCIA QUILLON;EL ROBLE NÔøΩ 203;42 - 2842140;;TENENCIA;;;;;
16108;;RETEN SAN IGNACIO;MANUEL RODRIGUEZ N∞ 699;42 - 2842135;;RETEN;;;;;
16109;;4A. COMISARÕA YUNGAY;CALLE TACNA NÔøΩ 34;42 - 2842143;;COMISARIA;;;;;
16201;;5A. COMISARÕA QUIRIHUE;CALLE ESMERALDA NÔøΩ 735;42 - 2842174;;COMISARIA;;;;;
16202;Cobquecura;RETEN COBQUECURA;CALLE ARTURO PRAT N∞ 322;42 - 2842188;;RETEN;;;;;
16203;Coelemu;SUBCOMISARÕA COELEMU;EXEQUIEL LARENAS N∞ 810;42 - 2842193;;SUBCOMISARIA;;;;;
16204;Ninhue;RETEN —INHUE;ESMERALDA N∞ 501;42 - 2842189;;RETEN;;;;;
16205;Portezuelo;RETEN PORTEZUELO;O'HIGGINS N∞ 537;42 - 2842190;;RETEN;;;;;
16206;R·nquil;RETEN —IPAS;BARROS LUCO N∞ 598;42 - 2842201;;RETEN;;;;;
16207;Treguaco;RETEN TREHUACO;GONZALO URREJOLA N∞ 593;42 - 2842191;;RETEN;;;;;
16301;San Carlos;1A. COMISARÕA DE SAN CARLOS;BENJAMÔøΩN VICUÔøΩA MACKENNA NÔøΩ 137;42 - 2 842051;;COMISARIA;;;;;
16302;Coihueco;SUBCOMISARÕA COIHUECO;SAN MARTÕN N∞ 1598;42 - 2842232;;SUBCOMISARIA;;;;;
16303;—iquÈn;RETEN —IQUEN;RAUL SOTO S/N;42 - 2842076;;RETEN;;;;;
16304;San Fabi·n;SUBCOMISARÕA SAN FABIAN (F);AVENIDA ANDES N∞ 614;42 - 2842078;;SUBCOMISARIA;;;;;
16305;San Nicol·s;RETEN SAN NICOLAS;BERNARDO OHIGGINS N∞ 215;42 - 2 842071;;RETEN;;;;;
8101;ConcepciÛn;2A. COMISARÕA CONCEPCI”N;ONGOLMO N 1668;41 - 2141180;;COMISARIA;;;;;
8102;Coronel;4A. COMISARÕA DE CORONEL;MANUEL MONTT N 798;41-2141126;;COMISARIA;;;;;
8103;Chiguayante;7A.COMISARÕA CHIGUAYANTE;AVDA. 101 S/N ESQUINA BIO BIO;41 - 2141570;;COMISARIA;;;;;
8104;Florida;TENENCIA FLORIDA;ELEUTERIO RAMIREZ N∞ 543;41 - 2141340;;TENENCIA;;;;;
8105;Hualqui;TENENCIA HUALQUI;PATRICIO LYNCH N∞ 501;41 - 2141123;;TENENCIA;;;;;
8106;Lota;3A. COMISARÕA DE LOTA;CURVA LOYOLA S/N;41 - 2 2141161;;COMISARIA;;;;;
8107;Penco;3A. COMISARÕA DE PENCO;BERNARDO O HIGGINS N 418;41 - 2 2141318;;COMISARIA;;;;;
8108;San Pedro de La Paz;TENENCIA SAN PEDRO DE LA PAZ;LOS MAQUIS S/N;41-2141198;;TENENCIA;;;;;
5101;;SUBCOMISARÕA LAS CA—AS;LOS ALERCES S/N;32 - 3132165;;SUBCOMISARIA;;;;;
